id,key,1::English (United Kingdom),2::Dutch (Netherlands)
82,infoBookingDetailsTitle,Add a new booking,Een nieuwe boeking toevoegen
83,infoBookingFormDesc,"Select the booking form fields that will appear as standard and required, respectively.",Selecteer de velden in het reserveringsformulier die standaard en verplicht moeten zijn.
84,infoBookingFormTitle,Edit Booking form,Reserveringsformulier bewerken
85,infoBookingsDesc,Configure booking options and customize payments as per your preferences. ,Configureer de reserveringsopties en pas de betalingen aan uw voorkeuren aan.
86,infoBookingsListDesc,"Review a list of all room bookings. Using the quick buttons below, you can manually add a new booking, change its status, edit booking details, browse and delete bookings.","Bekijk een lijst van alle ruimteboekingen. Met de onderstaande sneltoetsen kunt u handmatig een nieuwe reservering toevoegen, de status ervan wijzigen, reserveringsgegevens bewerken, reserveringen bekijken en verwijderen."
87,infoBookingsListTitle,Bookings list,Reserveringslijst
88,infoBookingsTitle,Bookings & Payments,Reserrveringen en betalingen
89,infoClientDetailsDesc,"Please, fill in the client information before saving the booking.",Vul de klantgegevens in voordat u de reservering opslaat.
90,infoClientDetailsTitle,Add client details,Voeg klantgegevens toe
91,infoDefaultTimeDesc,"You can set a different working time for each day of the week, as well as days-off and morning & afternoon schedule.","Je kunt voor elke dag van de week een andere werktijd instellen, evenals vrije dagen en een middag- en avondschema."
92,infoDefaultTimeTitle,Default working time,Standaard werktijd
93,infoEquipmentDesc,"Review all available equipment items. You can add a new item or edit the existing ones. Just don't forget to ""Save"" your changes.",Bekijk alle beschikbare apparatuur. Je kunt een nieuw item toevoegen of de bestaande bewerken. Vergeet niet je wijzigingen op te slaan.
94,infoEquipmentTitle,Technical equipment ,Technische apparatuur
95,infoFoodDrinksDesc,"As an additional service, you can offer different kinds of food & drinks to your clients. Customize your menu and add prices.",Als extra service kunt u uw klanten verschillende soorten eten en drinken aanbieden. Pas uw menu aan en voeg prijzen toe.
96,infoFoodDrinksTitle,Food & Drinks Menu,Menukaart met eten en drinken
97,infoGeneralDesc,Configure the general settings for your Meeting Room Booking System.,Configureer de algemene instellingen voor uw ruimtereserveringssysteem.
98,infoGeneralTitle,General options,Algemene opties
99,infoInstallCodeDesc,Please copy the install code below and put it on your web page.,Kopieer de onderstaande installatiecode en plaats deze op uw webpagina.
100,infoInstallCodeTitle,Install code,Installeer code
101,infoPreviewDesc,"There are multiple color schemes available for the front end. Click on each of the thumbnails below to preview it. Click on ""Use this theme"" button for the theme you want to use.","Er zijn verschillende kleurschema's beschikbaar voor de front-end. Klik op elk van de miniaturen hieronder om een ??voorbeeld te bekijken. Klik op de knop ""Dit thema gebruiken"" voor het thema dat u wilt gebruiken."
102,infoPreviewInstallDesc,"There are multiple color schemes available for the front-end. Click on each of the thumbnails below to preview themes. Press ""Use this theme"" button to enable it. Then scroll down and copy/paste the Install code on your web page.","Er zijn verschillende kleurenschema's beschikbaar voor de front-end. Klik op elk van de miniaturen hieronder om de thema's te bekijken. Klik op de knop ""Dit thema gebruiken"" om het te activeren. Scroll vervolgens naar beneden en kopieer/plak de installatiecode op uw webpagina. "
103,infoPreviewInstallTitle,Preview & Install,Voorbeeldweergave en installatie
104,infoPreviewTitle,Preview front end,Voorbeeld van de front-end
105,infoRoomLayoutsDesc,"Below is a list of all available room layouts. You can add your custom layouts and assign them to each room type from the ""Rooms"" menu.","Hieronder vindt u een lijst met alle beschikbare ruimteindelingen. U kunt uw eigen indelingen toevoegen en deze toewijzen aan elk ruimtetype via het menu ""Ruimtes""."
106,infoRoomLayoutsTitle,Meeting room layouts,Plattegronden van de ruimtes
107,infoRoomsDesc,"Below is a list of all meeting rooms. You can add and edit rooms, change their status and see all bookings for each room. ","Hieronder vindt u een lijst met alle ruimtes. U kunt ruimtes toevoegen en bewerken, hun status wijzigen en alle reserveringen voor elke ruimte bekijken."
108,infoRoomsTitle,Meeting rooms,Ruimtes
109,infoTermsDesc,Enter your booking terms and conditions and click “Save”.,Vul je boekingsvoorwaarden in en klik op 'Opslaan'.
110,infoTermsTitle,Terms & Conditions,Algemene voorwaarden
111,infoToAdministratorsDesc,"Customize the automated Email & SMS notifications which will be sent to admins.  If you wish to activate the SMS notification feature, you need to request a valid API key and enter it in the designated SMS menu (see above).","Pas de geautomatiseerde e-mail- en sms-meldingen aan die naar beheerders worden verzonden. Als u de sms-notificatiefunctie wilt activeren, moet u een geldige API-sleutel aanvragen en deze invoeren in het daarvoor bestemde sms-menu (zie hierboven)."
112,infoToAdministratorsTitle,Notifications to administrators,Meldingen aan beheerders
113,infoToCustomersDesc,"Create different types of Email & SMS alerts triggered by a new booking, payment or cancellation. If you wish to activate the SMS notification feature, you need to request a valid API key and enter it in the designated SMS menu (see above).","Maak verschillende soorten e-mail- en sms-meldingen aan die worden geactiveerd bij een nieuwe reservering, betaling of annulering. Als u de sms-notificatiefunctie wilt activeren, moet u een geldige API-sleutel aanvragen en deze invoeren in het daarvoor bestemde sms-menu (zie hierboven)."
114,infoToCustomersTitle,Notifications to customers,Meldingen aan klanten
115,infoUpdateEquipmentItemDesc,"You can make any change on the form below and click ""Save"" button to update equipment item.","U kunt alle wijzigingen in het onderstaande formulier aanbrengen en op de knop ""Opslaan"" klikken om het apparatuuritem bij te werken."
116,infoUpdateEquipmentItemTitle,Update equipment item,Update het apparatuuritem
117,infoUpdateFoodDrinkDesc,"Edit the title or price and then click ""Save"".",Bewerk de titel of de prijs en klik vervolgens op 'Opslaan'.
118,infoUpdateFoodDrinkTitle,Update food or drink item,Update het voedsel- of drankitem
119,infoUpdateLayoutDesc,"You can edit the title and upload another image for this room layout. Just click ""Save"" at the end.","U kunt de titel bewerken en een andere afbeelding voor deze ruimteindeling uploaden. Klik aan het einde gewoon op ""Opslaan""."
120,infoUpdateLayoutTitle,Update room layout,Ruimteindeling bijwerken
121,infoUpdateRoomDesc,"You can make any changes on the form below and click ""Save"" button to update room information.","U kunt onderstaande formulier wijzigen en op de knop ""Opslaan"" klikken om de ruimteinformatie bij te werken."
122,infoUpdateRoomTitle,Update room,Update ruimte
123,infoUpdateUserDesc,"You can make any changes on the form below and click ""Save"" button to update the user information.","U kunt onderstaande formulier naar wens wijzigen en op de knop ""Opslaan"" klikken om de gebruikersgegevens bij te werken."
124,infoUpdateUserTitle,Update user,Gebruiker bijwerken
125,infoUsersDesc,"Below is a list of all users. You can add new users, edit user details and change user status. ","Hieronder vindt u een lijst met alle gebruikers. U kunt nieuwe gebruikers toevoegen, gebruikersgegevens bewerken en de gebruikersstatus wijzigen."
126,infoUsersTitle,Users,Gebruikers
127,lblAddUser,Add user,Gebruikers aanmaken
128,lblAll,All,Alles
129,lblAttendees,Attendees,Aanwezigen
130,lblAvailableTokens,Use the tokens below to personalize your email messages. <br/><br/><label>{Date}</label><label>{Room}</label><label>{RoomLayout}</label><label>{Duration}</label><label>{Attendees}</label><label>{Equipment}</label><label>{FoodDrinks}</label><label>{UniqueID}</label><label>{SubTotal}</label><label>{Deposit}</label><label>{Total}</label><label>{Tax}</label><label>{PaymentMethod}</label><label>{CCType}</label><label>{CCNum}</label><label>{CCExp}</label><label>{CCSec}</label><label>{Title}</label><label>{Name}</label><label>{Email}</label><label>{Phone}</label><label>{Country}</label><label>{City}</label><label>{State}</label><label>{Zip}</label><label>{Address}</label><label>{Company}</label><label>{CancelURL}</label>,Gebruik de onderstaande tokens om uw e-mailberichten te personaliseren. <br/><br/><label>{Date}</label><label>{Room}</label><label>{RoomLayout}</label><label>{Duration}</label><label>{Attendees}</label><label>{Equipment}</label><label>{FoodDrinks}</label><label>{UniqueID}</label><label>{SubTotal}</label><label>{Deposit}</label><label>{Total}</label><label>{Tax}</label><label>{PaymentMethod}</label><label>{CCType}</label><label>{CCNum}</label><label>{CCExp}</label><label>{CCSec}</label><label>{Title}</label><label>{Name}</label><label>{Address}</label><label>{Zip}</label><label>{City}</label><label>{State}</label>label>{Country}</label> <label>{Email}</label><label>{Phone}</label><label>{Company}</label><label>{CancelURL}</label>
131,lblBookBy,Book for,Reserveer voor
132,lblBookings,Bookings,Reserveringen
133,lblBookMultiUnits,Book multi units,Reserveer meerdere ruimtes
134,lblCapacity,Capacity,Capaciteit
135,lblCCCode,CC code,CC-code
136,lblCCExp,CC expiration date,vervaldatum creditcard
137,lblCCNum,CC number,CC-nummer
138,lblCCType,CC type,CC-type
139,lblChoose,Choose,Kiezen
140,lblChooseTheme,Choose color theme,Kies een kleurenthema
141,lblClient,Client,Opdrachtgever
142,lblCreatedOn,Created on,Gemaakt op
143,lblCurrentlyInUse,Currently in use,Momenteel in gebruik
144,lblDashLastLogin,Last login,Laatste login
145,lblDate,Date,Datum
146,lblDays,days,Dagen
147,lblDelete,Delete,Verwijderen
148,lblDeleteImage,Delete image,Afbeelding verwijderen
149,lblDeleteImageConfirm,Are you sure that you want to delete this image?,Weet u zeker dat u deze afbeelding wilt verwijderen?
150,lblDeposit,Deposit,Storting
151,lblDescription,Description,Bijschrijving
152,lblDuration,Duration,Duur
153,lblEndDate,End date,Einddatum en -tijd
154,lblEquipment,Equipment,Apparatuur beheren
155,lblEquipmentPrice,Equipment price,Apparatuur prijs
156,lblError,Error,Fout
157,lblExport,Export,Export
158,lblFoodDrinkPrice,Food & drinks price,Eten en drink prijs
159,lblFoodDrinks,Food & Drinks,Eten en drinken
160,lblForgot,Forgot password,Wachtwoord vergeten
161,lblFromTo,From - to,Van -naar
162,lblImage,Image,Afbeelding
163,lblInstallCode,Install code,Code installeren
164,lblInvalidDateRange,Invalid date range.,Ongeldige datum bereik
165,lblIp,IP address,IP-adres
166,lblIpAddress,IP address,IP-adres
167,lblIsActive,Is confirmed,IS actief
168,lblLayout,Layout,Indeling
169,lblLayouts,Layouts,Indelingen
170,lblLegendEmails,Emails,E-mails
171,lblLegendSMS,SMS,SMS
172,lblNA,N/A,N/A
173,lblName,Name,Naam
174,lblNo,No,Nee
175,lblNoLayoutsMessage,No room layouts found. Click {STAG}here{ETAG} to add.,Geen plattegronden gevonden. Klik {STAG}hier{ETAG} om er een toe te voegen.
176,lblNotifications,Notifications,Meldingen
177,lblOption,Option,Optie
178,lblOptionList,Option list,Optielijst
179,lblPaymentMethod,Payment method,Betalingswijze
180,lblPeople,people,Personen
181,lblPerAttendee,per attendee,Per deelnemer
182,lblPhone,Phone,Telefoon
183,lblPrice,Price,Prijs
184,lblPricePerAttendee,Price per attendee,Prijs per deelnemer
185,lblPricePerBooking,per booking,Per reservering
186,lblPricePerHour,per hour,Per uur
187,lblRangeDaysOff,There is day-off in the range.,Er is een vrije dag in het reserveringsgebied.
188,lblResvAddress,Address,Adres
189,lblResvCity,City,Woonplaats
190,lblResvCompany,Company,Bedrijf
191,lblResvCountry,Country,Land
192,lblResvEmail,Email,E-mail
193,lblResvName,Name,Naam
194,lblResvNotes,Notes,Notities
195,lblResvPhone,Phone,Telefoon
196,lblResvState,State,Provincie
197,lblResvTitle,Title,Titel
198,lblResvZip,Zip,Postcode
199,lblRole,Role,Rol
200,lblRoom,Room,Ruimte
201,lblRoomPrice,Room price,Prijs per ruimte
202,lblRooms,Rooms,Ruimtes
203,lblSelectedDateOff,Selected date is off.,Geselecteerde datum is uitgeschakeld
204,lblSendEmailConfirmation,Send Confirmation Email,Bevestigingsmail verzenden
205,lblStatus,Status,Status
206,lblSubTotal,Sub-total,Subtotaal
207,lblTax,Tax,Belasting
208,lblTitle,Title,Titel
209,lblTo,to,Naar
210,lblTotal,Total,Totaal
211,lblType,Type,Type
212,lblUnits,Unit(s),Ruimte(s)
213,lblUpdateUser,Update user,Update gebruiker
214,lblUserCreated,Registration date/time,Registratie datum en tijd
215,lblValue,Value,Waarde
216,lblYes,Yes,Ja
217,legendDateAndRoom,Date & room,Datum en ruimte
218,legendEquipment,Equipment,Apparatuur 
219,legendFoodAndDrinks,Food & Drinks,Eten en Ddrinken
220,lnkBack,Back,Terug
221,localeArrays,Arrays titles,Titels
222,locales,Languages,Talenmenu
223,locale_flag,Flag,Vlag
224,locale_is_default,Is default,Standaard
225,locale_order,Order,Bestelling niet gevonden!
226,locale_title,Title,Titel
227,menuBackup,Backup,Back-up
228,menuBookings,Bookings,Reserveringen
229,menuDashboard,Dashboard,Dashboard
230,menuEquipments,Equipment,Apparatuur 
231,menuExtras,Extras,Extra's
232,menuFoodDrinks,Food & Drinks,Eten en drinken
233,menuInstall,Install,Installeren
234,menuInstallPreview,Preview & Install,Installeren en voorvertoning
235,menuLang,Multi Lang,Meerdere talen
236,menuLocales,Languages,Talenmenu
237,menuLogout,Logout,Uitloggen
238,menuOptions,Options,Opties
239,menuPlugins,Plugins,Invoegen
240,menuPreview,Preview,Voorbeeld
241,menuProfile,Profile,Profiel
242,menuRoomLayouts,Room layouts,Ruimte indeling
243,menuRooms,Rooms,Ruimtes
244,menuUsers,Users,Gebruikers
245,menuWorkingTime,Working time,Werktijd
246,multilangTooltip,Click on the flag icon to choose which language version of the content you wish to edit.,Klik op het vlagpictogram om de gewenste taalversie van de inhoud te selecteren.
247,option_days,day(s),Dagen
248,opt_o_admin_email_cancel_text,Select 'Yes' if you'd like to send email to administrator when a booking cancelled. ,Selecteer 'Ja' als u een e-mail naar de beheerder wilt ontvangen wanneer een reservering wordt geannuleerd.
249,opt_o_admin_email_confirmation_text,Select 'Yes' if you'd like to send email to administrator when a new booking made. ,Selecteer 'Ja' als u een e-mail naar de beheerder wilt ontvangen wanneer een reservering wordt gemaakt.
250,opt_o_admin_email_payment_text,Select 'Yes' if you'd like to send email to administrator when a new payment made. ,  Selecteer 'Ja' als u een e-mail naar de beheerder wilt sturen wanneer een nieuwe betaling wordt gedaan.
251,opt_o_admin_sms_confirmation_message,Booking confirmation SMS,Reserveringsbevestiging via sms
252,opt_o_admin_sms_payment_message,Payment confirmation SMS,Betalingsbevestiging via sms
253,opt_o_allow_authorize,Allow payments with Authorize.Net,Sta betalingen toe met Authorize.net.
254,opt_o_allow_bank,Provide Bank account details for wire transfers,Geef uw bankrekeninggegevens op voor overboekingen.
255,opt_o_allow_cash,Allow cash payments,Contante betalingen toestaan
256,opt_o_allow_creditcard,Collect Credit Card details for offline processing,Verzamel creditcardgegevens voor offline verwerking.
257,opt_o_allow_paypal,Allow payments with PayPal,Sta betalingen met PayPal toe.
258,opt_o_authorize_md5_hash,Authorize.Net MD5 hash,Authorize.Net MD5-hash
259,opt_o_authorize_merchant_id,Authorize.Net merchant ID,Authorize.Net-handelaars-ID
260,opt_o_authorize_timezone,Authorize.Net time zone,Authorize.Net-tijdzone
261,opt_o_authorize_transkey,Authorize.Net transaction key,Authorize.Net-transactiesleutel
262,opt_o_bank_account,Bank Account,Bankrekening
263,opt_o_bf_include_address,Address,Adres
264,opt_o_bf_include_captcha,Captcha,Captha
265,opt_o_bf_include_city,City,Woonplaats
266,opt_o_bf_include_company,Company,Bedrijf
267,opt_o_bf_include_country,Country,Land
268,opt_o_bf_include_email,Email,E-mail
269,opt_o_bf_include_name,Name,Naam
270,opt_o_bf_include_notes,Notes,Notities
271,opt_o_bf_include_phone,Phone,Telfoon
272,opt_o_bf_include_state,State,Provincie
273,opt_o_bf_include_title,Title,Titel
274,opt_o_bf_include_zip,Zip,Postcode
275,opt_o_booking_status,All bookings made but NOT paid will be set as,"Alle reserveringen die gemaakt maar NIET betaald zijn, worden als volgt ingesteld:"
276,opt_o_currency,Currency,Valuta
277,opt_o_date_format,Date format,Datum formaat
278,opt_o_days_earlier,Allow advance bookings - at least ... days earlier,Maak reserveringen vooraf mogelijk - minimaal ... dagen van tevoren.
279,opt_o_deposit_payment,Deposit payment,Storting betaling
280,opt_o_email_cancel,Send cancellation email,Verstuur annuleringsmail
281,opt_o_email_cancel_message,Cancel confirmation message,Bevestigingsbericht annuleren
282,opt_o_email_cancel_subject,Cancel confirmation subject,Annuleren bevestigings onderwerp
283,opt_o_email_cancel_text,Select 'Yes' if you want to notify your customers for cancelling their bookings.,Verstuur annuleringsmail
284,opt_o_email_confirmation,New booking received email,Nieuwe reservering ontvangen E-mail
285,opt_o_email_confirmation_message,New booking confirmation message,Nieuw reserveringsbevestigingsbericht
286,opt_o_email_confirmation_subject,New booking confirmation subject,Nieuwe reserveringsbevestiging onderwerp
287,opt_o_email_confirmation_text,Select 'Yes' if you'd like to let your customers know that you received their bookings. ,Nieuwe reservering ontvangen E-mail
288,opt_o_email_payment,Send payment confirmation email,Bestalingsbevestiging E-mail verzenden
289,opt_o_email_payment_message,Payment confirmation message,Betalingsbevestigingsbericht
290,opt_o_email_payment_subject,Payment confirmation subject,Betalingsbevestigings onderwerp
291,opt_o_email_payment_text,Select 'Yes' if you want to notify your customers for receiving their payment.,Betalingsbevestiging E-mail verzenden
292,opt_o_items_per_page,Number of items per page,Aantal artikelen per pagina
293,opt_o_payment_disable,"Select ""Yes"" to disable payments and collect booking details only","Selecteer ""Ja"" om betalingen uit te schakelen en alleen reserveringsgegevens te verzamelen."
294,opt_o_payment_status,All bookings made and paid will be set as,Alle gemaakte en betaalde reserveringen worden als volgt ingesteld:
295,opt_o_paypal_address,PayPal business email address,PayPal zakelijk e-mailadres
296,opt_o_send_email,Send email,E-mail verzenden
297,opt_o_sms_confirmation_message,Booking Confirmation SMS,Reserveringsbevestiging SMS
298,opt_o_sms_payment_message,Payment confirmation SMS,Betalingsbevestiging SMS
299,opt_o_smtp_host,SMTP Host,SMTP Host
300,opt_o_smtp_pass,SMTP Password,SMTP Wachtwoord
301,opt_o_smtp_port,SMTP Port,SMTP Poort
302,opt_o_smtp_user,SMTP Username,SMTP Gebruikersnaam
303,opt_o_tax_payment,Tax payment,Belastingbetaling
304,opt_o_terms,Terms & Conditions,Algemene voorwaarden
305,opt_o_thankyou_page,URL for the web page where your clients will be redirected after PayPal or Authorize.Net payment,URL van de webpagina waarnaar uw klanten worden doorgestuurd na betaling via PayPal of Authorize.Net
306,opt_o_timezone,Timezone,Tijdzone
307,opt_o_time_format,Time format,Tijdindeling
308,opt_o_week_start,First day of the week,eerste dag van de week
309,pass,Password,Wachtwoord
310,pj_digits_validation,Please enter only digits,Gelieve alleen cijfers in te voeren
311,pj_email_taken,User with such email address exists.,Er bestaat al een gebruiker met dat e-mailadres.
312,pj_email_validation,Please enter a valid email address.,Gelieve een geldig E-mailadres in te voeren.
313,pj_field_required,This field is required.,Dit veld is vereist.
314,pj_number_validation,Please enter a valid number.,Gelieve een geldig nummer in te voeren.
315,revert_status,Revert status,Status terugdraaien
316,tabBookingDetails,Booking Details,Reserverings gegevens
317,tabBookingForm,Booking form,Reserveringsformulier
318,tabBookings,Bookings,Reserveringen
319,tabClientDetails,Client Details,Klantgegevens
320,tabGeneral,General,Algemeen menu
321,tabNotifications,Notifications,Meldingen
322,tabTerms,Terms,Voorwaarden
323,tabToAdministrators,To administrators,Naar beheerders
324,tabToCustomers,To customers,Aan klanten
325,tabWorkingTime,Working time,Werktijd
326,time_afternoon,Afternoon,Avond 
327,time_afternoon_from,Afternoon from,Avond vanaf
328,time_afternoon_to,Afternoon to,Avond tot
329,time_custom,Custom ,Aangepast
330,time_date,Date,Datum
331,time_day,Day of week,Dag van de week
332,time_default,Default,Standaard
333,time_from,Start time,Starttijd
334,time_is,Day-off,Vrije dag
335,time_morning,Morning,Middag
336,time_morning_from,Morning from,Middag vanaf
337,time_morning_to,Morning to,Middag tot
338,time_to,End time,Eindtijd
339,time_update_custom,Update custom,Update op maat
340,url,URL,URL
341,user,Username,Gebruikersnaam
342,front_address,Address,Adres
343,front_afternoon,Afternoon,Avond 
344,front_agree_with_terms,I agree with the {STAG}terms of reservation{ETAG}.,Ik ga akkoord met de algemene voorwaarden
345,front_attendees,Attendees,Deelnemers
346,front_bank_account,Bank account,Bankrekening
347,front_billing_address,Billing Address,Factuuradres
348,front_bookings_in_range,Date in the range is booked by another.,De datum in het aangegeven bereik is al door iemand anders gereserveerd.
349,front_booking_completed,Booking completed,Reservering compleet
350,front_booking_details,Booking Details,Reserveringsdetails
351,front_booking_id,Booking ID,Reserverings-ID
352,front_btn_back,Back,Terug
353,front_btn_book_this_room,Book this room,Boek deze ruimte
354,front_btn_close,Close,Sluiten
355,front_btn_confirm,Confirm,Bevestigen
356,front_btn_next,Next,Volgende 
357,front_btn_preview_booking,Preview Booking,Voorbeeld reservering
358,front_btn_start_over,Start over,Begin opnieuw
359,front_capacity,Capacity,Capaciteit
360,front_captcha,Captcha,Captcha
361,front_cc_code,CC code,CC-code
362,front_cc_exp,CC expiration,CC-vervaldatum
363,front_cc_num,CC number,CC-nummer
364,front_cc_type,CC type,CC-type
365,front_city,City,Woonplaats
366,front_company,Company,Bedrijf
367,front_country,Country,Land
368,front_date,Date,Datum
369,front_date_booked_msg,Selected date was booked by another person. Please select another date.,De geselecteerde datum is al door iemand anders geboekt. Kies een andere datum.
370,front_date_off_in_range,There is a day off in the selected range.,Binnen het geselecteerde tijdsbestek is er een vrije dag.
371,front_date_off_msg,The selected date is a day off. Please select another date.,De geselecteerde datum is een vrije dag. Kies een andere datum.
372,front_deposit,Deposit,Storting
373,front_duration,Duration,Duur
374,front_email,Email,E-mail
375,front_end_date,End date,Einddatum en -tijd
376,front_equipment,Equipment,Apparatuur 
377,front_food_drinks,Food & Drinks,Eten en drinken
378,front_from_to,From - To,Van -naar
379,front_half_day,half-day,Halve dag
380,front_hours,hours,Uren
381,front_human_verification,Human verification,Menselijke verificatie
382,front_label_txn_id,Transaction ID,Transactie-ID
383,front_layout,Layout,Indeling
384,front_layout_error_msg,Please select room layout.,Selecteer de ruimteindeling.
385,front_link_change,Change,Aanpassen
386,front_menu2_step_1,Step 1 - Meeting Rooms,Stap 1 - Beschikbare ruimtes
387,front_menu2_step_2,Step 2 - Book Room,Stap 2 - Ruimte
388,front_menu2_step_3,Step 3 - Food & Drinks,Stap 3 - Eten en drinken
389,front_menu2_step_4,Step 4 - Checkout,Stap 4 - Afrekenen
390,front_menu2_step_5,Step 5 - Confirmation,Stap 5 - Bevestiging
391,front_menu3_step_1,Step 1 - Meeting Rooms,Stap 1 - Beschikbare ruimtes
392,front_menu3_step_2,Step 2 - Book Room,Stap 2 - Ruimte
393,front_menu3_step_3,Step 3 - Room Setup,Stap 3 - Ruimte indeling
394,front_menu3_step_4,Step 4 - Checkout,Stap 4 - Afrekenen
395,front_menu3_step_5,Step 5 - Confirmation,Stap 5 - Bevestiging
396,front_menu4_step_1,Step 1 - Meeting Rooms,Stap 1 - Beschikbare ruimtes
397,front_menu4_step_2,Step 2 - Book Room,Stap 2 - Ruimte
398,front_menu4_step_3,Step 3 - Checkout,Stap 3 - Afrekenen
399,front_menu4_step_4,Step 4 - Confirmation,Stap 4 - Bevestiging
400,front_menu_step_1,Step 1 - Meeting Rooms,Stap 1 - Beschikbare ruimtes
401,front_menu_step_2,Step 2 - Book Room,Stap 2 - Ruimte
