id,key,1::English (United Kingdom)
130,lblAvailableTokens,Gebruik de onderstaande tokens om uw e-mailberichten te personaliseren. <br/><br/><label>{Date}</label><label>{Room}</label><label>{RoomLayout}</label><label>{Duration}</label><label>{Attendees}</label><label>{Equipment}</label><label>{FoodDrinks}</label><label>{UniqueID}</label><label>{SubTotal}</label><label>{Deposit}</label><label>{Total}</label><label>{Tax}</label><label>{PaymentMethod}</label><label>{CCType}</label><label>{CCNum}</label><label>{CCExp}</label><label>{CCSec}</label><label>{Title}</label><label>{Name}</label><label>{Address}</label><label>{Zip}</label><label>{City}</label><label>{State}</label>label>{Country}</label> <label>{Email}</label><label>{Phone}</label><label>{Company}</label><label>{CancelURL}</label>
131,lblBookBy,Aanvraag voor
132,lblBookings,Aanvragen
133,lblBookMultiUnits,Vraag meerdere ruimtes aan
134,lblCapacity,Capaciteit
135,lblCCCode,CC-code
136,lblCCExp,vervaldatum creditcard
137,lblCCNum,CC-nummer
138,lblCCType,CC-type
139,lblChoose,Kiezen
140,lblChooseTheme,Kies een kleurenthema
141,lblClient,Opdrachtgever
142,lblCreatedOn,Gemaakt op
143,lblCurrentlyInUse,Momenteel in gebruik
144,lblDashLastLogin,Laatste login
145,lblDate,Datum
146,lblDays,Dagen
147,lblDelete,Verwijderen
148,lblDeleteImage,Afbeelding verwijderen
149,lblDeleteImageConfirm,Weet u zeker dat u deze afbeelding wilt verwijderen?
150,lblDeposit,Storting
151,lblDescription,Bijschrijving
152,lblDuration,Duur
153,lblEndDate,Einddatum en -tijd
154,lblEquipment,Apparatuur beheren
155,lblEquipmentPrice,Apparatuur prijs
156,lblError,Fout
157,lblExport,Export
158,lblFoodDrinkPrice,Eten en drink prijs
159,lblFoodDrinks,Eten en drinken
160,lblForgot,Wachtwoord vergeten
161,lblFromTo,Van - naar
162,lblImage,Afbeelding
163,lblInstallCode,Code installeren
164,lblInvalidDateRange,Ongeldige datum bereik
165,lblIp,IP-adres
166,lblIpAddress,IP-adres
167,lblIsActive,IS actief
168,lblLayout,Indeling
169,lblLayouts,Indelingen
170,lblLegendEmails,E-mails
171,lblLegendSMS,SMS
172,lblNA,N/A
173,lblName,Naam
174,lblNo,Nee
175,lblNoLayoutsMessage,Geen plattegronden gevonden. Klik {STAG}hier{ETAG} om er een toe te voegen.
176,lblNotifications,Meldingen
177,lblOption,Optie
178,lblOptionList,Optielijst
179,lblPaymentMethod,Betalingswijze
180,lblPeople,Personen
181,lblPerAttendee,Per deelnemer
182,lblPhone,Telefoon
183,lblPrice,Prijs
184,lblPricePerAttendee,Prijs per deelnemer
185,lblPricePerBooking,Per dagdeel
186,lblPricePerHour,Per uur
187,lblRangeDaysOff,Er is een vrije dag in het aanvraag gebied.
188,lblResvAddress,Adres
189,lblResvCity,Woonplaats
190,lblResvCompany,Bedrijf
191,lblResvCountry,Land
192,lblResvEmail,E-mail
193,lblResvName,Naam
194,lblResvNotes,Notities
195,lblResvPhone,Telefoon
196,lblResvState,Provincie
197,lblResvTitle,Titel
198,lblResvZip,Postcode
199,lblRole,Rol
200,lblRoom,Ruimte
201,lblRoomPrice,Prijs per ruimte
202,lblRooms,Ruimtes
203,lblSelectedDateOff,Geselecteerde datum is uitgeschakeld
204,lblSendEmailConfirmation,Bevestigingsmail verzenden
205,lblStatus,Status
206,lblSubTotal,Subtotaal
207,lblTax,Belasting
208,lblTitle,Titel
209,lblTo,Naar
210,lblTotal,Totaal
211,lblType,Type
212,lblUnits,Ruimte(s)
213,lblUpdateUser,Update gebruiker
214,lblUserCreated,Registratie datum en tijd
215,lblValue,Waarde
216,lblYes,Ja
217,legendDateAndRoom,Datum en ruimte
218,legendEquipment,Apparatuur 
219,legendFoodAndDrinks,Eten en drinken
220,lnkBack,Terug
221,localeArrays,Titels
222,locales,Talenmenu
223,locale_flag,Vlag
224,locale_is_default,Standaard
225,locale_order,Bestelling niet gevonden!
226,locale_title,Titel
227,menuBackup,Back-up
228,menuBookings,Aanvragen
229,menuDashboard,Dashboard
230,menuEquipments,Apparatuur 
231,menuExtras,Extra's
232,menuFoodDrinks,Horeca
233,menuInstall,Installeren
234,menuInstallPreview,Installeren
235,menuLang,Meerdere talen
236,menuLocales,Talen
237,menuLogout,Uitloggen
238,menuOptions,Opties
239,menuPlugins,Invoegen
240,menuPreview,Voorbeeld
241,menuProfile,Profiel
242,menuRoomLayouts,Ruimte indeling
243,menuRooms,Ruimtes
244,menuUsers,Gebruikers
245,menuWorkingTime,Werktijd
246,multilangTooltip,Klik op het vlagpictogram om de gewenste taalversie van de inhoud te selecteren.
247,option_days,Dagen
248,opt_o_admin_email_cancel_text,Selecteer 'Ja' als u een e-mail naar de beheerder wilt ontvangen wanneer een aanvraag wordt geannuleerd.
249,opt_o_admin_email_confirmation_text,Selecteer 'Ja' als u een e-mail naar de beheerder wilt ontvangen wanneer een aanvraag wordt gemaakt.
250,opt_o_admin_email_payment_text,  Selecteer 'Ja' als u een e-mail naar de beheerder wilt sturen wanneer een nieuwe betaling wordt gedaan.
251,opt_o_admin_sms_confirmation_message,Aanvraag bevestiging via sms
252,opt_o_admin_sms_payment_message,Betalingsbevestiging via sms
253,opt_o_allow_authorize,Sta betalingen toe met Authorize.net.
254,opt_o_allow_bank,Geef uw bankrekening gegevens op voor overboekingen.
255,opt_o_allow_cash,Contante betalingen toestaan
256,opt_o_allow_creditcard,Verzamel creditcardgegevens voor offline verwerking.
257,opt_o_allow_paypal,Sta betalingen met PayPal toe.
258,opt_o_authorize_md5_hash,Authorize.Net MD5-hash
259,opt_o_authorize_merchant_id,Authorize.Net-handelaars-ID
260,opt_o_authorize_timezone,Authorize.Net-tijdzone
261,opt_o_authorize_transkey,Authorize.Net-transactiesleutel
262,opt_o_bank_account,Bankrekening
263,opt_o_bf_include_address,Adres
264,opt_o_bf_include_captcha,Captha
265,opt_o_bf_include_city,Woonplaats
266,opt_o_bf_include_company,Bedrijf
267,opt_o_bf_include_country,Land
268,opt_o_bf_include_email,E-mail
269,opt_o_bf_include_name,Naam
270,opt_o_bf_include_notes,Notities
271,opt_o_bf_include_phone,Telefoon
272,opt_o_bf_include_state,Provincie
273,opt_o_bf_include_title,Titel
274,opt_o_bf_include_zip,Postcode
275,opt_o_booking_status,"Alle aanvragen die gemaakt maar NIET betaald zijn, worden als volgt ingesteld:"
276,opt_o_currency,Valuta
277,opt_o_date_format,Datum formaat
278,opt_o_days_earlier,Maak aanvragen vooraf mogelijk - minimaal ... dagen van tevoren.
279,opt_o_deposit_payment,Storting betaling
280,opt_o_email_cancel,Verstuur annulering mail
281,opt_o_email_cancel_message,Bevestiging bericht annuleren
282,opt_o_email_cancel_subject,Annuleren bevestiging onderwerp
283,opt_o_email_cancel_text,Verstuur annulering mail
284,opt_o_email_confirmation,Nieuwe aanvraag ontvangen E-mail
285,opt_o_email_confirmation_message,Nieuw aanvraag bevestiging bericht
286,opt_o_email_confirmation_subject,Nieuwe aanvraag bevestiging onderwerp
287,opt_o_email_confirmation_text,Nieuwe aanvraag ontvangen E-mail
288,opt_o_email_payment,Betalingsbevestiging E-mail verzenden
289,opt_o_email_payment_message,Betalingsbevestiging bericht
290,opt_o_email_payment_subject,Betalingsbevestiging onderwerp
291,opt_o_email_payment_text,Betalingsbevestiging E-mail verzenden
292,opt_o_items_per_page,Aantal artikelen per pagina
293,opt_o_payment_disable,"Selecteer ""Ja"" om betalingen uit te schakelen en alleen aanvraag gegevens te verzamelen."
294,opt_o_payment_status,Alle gemaakte en betaalde aanvragen worden als volgt ingesteld:
295,opt_o_paypal_address,PayPal zakelijk e-mailadres
296,opt_o_send_email,E-mail verzenden
297,opt_o_sms_confirmation_message,Aanvraag bevestiging SMS
298,opt_o_sms_payment_message,Betalingsbevestiging SMS
299,opt_o_smtp_host,SMTP Host
300,opt_o_smtp_pass,SMTP Wachtwoord
301,opt_o_smtp_port,SMTP Poort
302,opt_o_smtp_user,SMTP Gebruikersnaam
303,opt_o_tax_payment,Belastingbetaling
304,opt_o_terms,Algemene voorwaarden
305,opt_o_thankyou_page,URL van de webpagina waarnaar uw klanten worden doorgestuurd na betaling via PayPal of Authorize.Net
306,opt_o_timezone,Tijdzone
307,opt_o_time_format,Tijdindeling
308,opt_o_week_start,eerste dag van de week
309,pass,Wachtwoord
310,pj_digits_validation,Gelieve alleen cijfers in te voeren
311,pj_email_taken,Er bestaat al een gebruiker met dat e-mailadres.
312,pj_email_validation,Gelieve een geldig E-mailadres in te voeren.
313,pj_field_required,Dit veld is vereist.
314,pj_number_validation,Gelieve een geldig nummer in te voeren.
315,revert_status,Status terugdraaien
316,tabBookingDetails,Aanvraag gegevens
317,tabBookingForm,Aanvraag formulier
318,tabBookings,Aanvragen
319,tabClientDetails,Klantgegevens
320,tabGeneral,Algemeen menu
321,tabNotifications,Meldingen
322,tabTerms,Voorwaarden
323,tabToAdministrators,Naar beheerders
324,tabToCustomers,Aan klanten
325,tabWorkingTime,Werktijd
326,time_afternoon,Avond
327,time_afternoon_from,Avond vanaf
328,time_afternoon_to,Avond tot
329,time_custom,Aangepast
330,time_date,Datum
331,time_day,Dag van de week
332,time_default,Standaard
333,time_from,Starttijd
334,time_is,Vrije dag
335,time_morning,Middag
336,time_morning_from,Middag vanaf
337,time_morning_to,Middag tot
338,time_to,Eindtijd
339,time_update_custom,Update op maat
340,url,URL
341,user,Gebruikersnaam
342,front_address,Adres
343,front_afternoon,Avond
344,front_agree_with_terms,Ik ga akkoord met de algemene voorwaarden
345,front_attendees,Personen
346,front_bank_account,Bankrekening
347,front_billing_address,Factuuradres
348,front_bookings_in_range,De datum in het aangegeven bereik is al door iemand anders gereserveerd.
349,front_booking_completed,Aanvraag compleet
350,front_booking_details,Aanvraag details
351,front_booking_id,Aanvraag-ID
352,front_btn_back,Terug
353,front_btn_book_this_room,Boek deze ruimte
354,front_btn_close,Sluiten
355,front_btn_confirm,Bevestigen
356,front_btn_next,Volgende 
357,front_btn_preview_booking,Voorbeeld aanvraag
358,front_btn_start_over,Begin opnieuw
359,front_capacity,Capaciteit
360,front_captcha,Captcha
361,front_cc_code,CC-code
362,front_cc_exp,CC-vervaldatum
363,front_cc_num,CC-nummer
364,front_cc_type,CC-type
365,front_city,Woonplaats
366,front_company,Bedrijf
367,front_country,Land
368,front_date,Datum
369,front_date_booked_msg,De geselecteerde datum is al door iemand anders geboekt. Kies een andere datum.
370,front_date_off_in_range,Binnen het geselecteerde tijdsbestek is er een vrije dag.
371,front_date_off_msg,De geselecteerde datum is een vrije dag. Kies een andere datum.
372,front_deposit,Storting
373,front_duration,Duur
374,front_email,E-mail
375,front_end_date,Einddatum en -tijd
376,front_equipment,Apparatuur 
377,front_food_drinks,Eten en drinken
378,front_from_to,Van - Naar
379,front_half_day,Per dagdeel
380,front_hours,Uren
381,front_human_verification,Menselijke verificatie
382,front_label_txn_id,Transactie-ID
383,front_layout,Indeling
384,front_layout_error_msg,Selecteer de ruimte indeling.
385,front_link_change,Aanpassen
386,front_menu2_step_1,Stap 1 - Beschikbare ruimtes
387,front_menu2_step_2,Stap 2 - Ruimte
388,front_menu2_step_3,Stap 3 - Eten en drinken
389,front_menu2_step_4,Stap 4 - Afrekenen
390,front_menu2_step_5,Stap 5 - Bevestiging
391,front_menu3_step_1,Stap 1 - Beschikbare ruimtes
392,front_menu3_step_2,Stap 2 - Ruimte
393,front_menu3_step_3,Stap 3 - Ruimte indeling
394,front_menu3_step_4,Stap 4 - Afrekenen
395,front_menu3_step_5,Stap 5 - Bevestiging
396,front_menu4_step_1,Stap 1 - Beschikbare ruimtes
397,front_menu4_step_2,Stap 2 - Ruimte
398,front_menu4_step_3,Stap 3 - Afrekenen
399,front_menu4_step_4,Stap 4 - Bevestiging
400,front_menu_step_1,Stap 1 - Beschikbare ruimtes
401,front_menu_step_2,Stap 2 - Ruimte
402,front_menu_step_3,Stap 3 - Ruimte indeling
403,front_menu_step_4,Stap 4 - Eten en drinken
404,front_menu_step_5,Stap 5 - Afrekenen
405,front_menu_step_6,Stap 6 - Bevestiging
406,front_menu_step_7,Stap 7 - Definitief
407,front_morning,Middag
408,front_name,Naam
409,front_notes,Notities
410,front_no_rooms_found,Geen ruimte gevonden
411,front_order_by,Besteld door
412,front_params_missing,Ontbrekende parameters. Controleer het alstublieft opnieuw.
413,front_payment_method,Betaalwijze
414,front_people,Personen
415,front_person,Persoon
416,front_personal_details,Persoonlijke gegevens
417,front_per_day,Per dag
418,front_per_hour,Per uur
419,front_per_person,Per persoon
420,front_phone,Telefoon
421,front_price,Prijs
422,front_processed_on,Verwerkt op
423,front_room,Ruimte
424,front_room_layout,Indeling
425,front_room_setup,Ruimte indeling
426,front_select_slot_message,Selecteer ten minste een slot
427,front_start_date,Startdatum en -tijd
428,front_state,Staat
429,front_subtotal,Subtotaal
430,front_tax,Belasting
431,front_terms_and_conditions,Algemene voorwaarden
432,front_terms_title,Algemene voorwaarden
433,front_title,Titel
434,front_total,Totaal
435,front_units,Eenheden
436,front_your_booking,Uw aanvraag
437,front_your_details,Uw gegevens
438,front_zip,Postcode
439,admin_sms_ARRAY_confirmation,Aanvraag bevestiging via sms
440,admin_sms_ARRAY_payment,Betalingsbevestiging via sms
441,booking_statuses_ARRAY_cancelled,Geannuleerd
442,booking_statuses_ARRAY_confirmed,Bevestigd
443,booking_statuses_ARRAY_pending,In behandeling
444,book_by_ARRAY_halfday,Per dag deel
445,book_by_ARRAY_hour,Per uur
446,book_by_ARRAY_multiday,Per dag
447,buttons_ARRAY_cancel,Annuleer pagina
448,buttons_ARRAY_delete,Verwijderen
449,buttons_ARRAY_send,Verzenden
450,cancel_err_ARRAY_1,Ontbrekende parameters
451,cancel_err_ARRAY_2,Een aanvraag met dat ID bestaat niet.
452,cancel_err_ARRAY_200,De aanvraag is succesvol geannuleerd.
453,cancel_err_ARRAY_3,De beveiliging hash kwam niet overeen.
454,cancel_err_ARRAY_4,De aanvraag is reeds geannuleerd.
455,cc_types_ARRAY_AmericanExpress,American Express
456,cc_types_ARRAY_Maestro,Maestro
457,cc_types_ARRAY_MasterCard,Mastercard
458,cc_types_ARRAY_Visa,Visa
459,client_email_ARRAY_cancel,Annulering mail verzenden
460,client_email_ARRAY_confirmation,Nieuwe aanvraag ontvangen via e-mail
461,client_email_ARRAY_payment,Stuur een e-mail met de betalingsbevestiging.
462,client_sms_ARRAY_confirmation,Aanvraag bevestiging via sms
463,client_sms_ARRAY_payment,Betalingsbevestiging via sms
464,days_ARRAY_0,Zondag
465,days_ARRAY_1,Maandag
466,days_ARRAY_2,Dinsdag
467,days_ARRAY_3,Woensdag
468,days_ARRAY_4,Donderdag
469,days_ARRAY_5,Vrijdag
470,days_ARRAY_6,Zaterdag
471,day_names_ARRAY_0,Z
472,day_names_ARRAY_1,M
473,day_names_ARRAY_2,D
474,day_names_ARRAY_3,W
475,day_names_ARRAY_4,D
476,day_names_ARRAY_5,V
477,day_names_ARRAY_6,Z
478,day_short_names_ARRAY_0,Zo
479,day_short_names_ARRAY_1,Ma
480,day_short_names_ARRAY_2,Di
481,day_short_names_ARRAY_3,Wo
482,day_short_names_ARRAY_4,Do
483,day_short_names_ARRAY_5,Vr
484,day_short_names_ARRAY_6,Za
485,enum_arr_ARRAY_0,Nee
486,enum_arr_ARRAY_1,Ja
487,enum_arr_ARRAY_2,Ja (verplicht)
488,enum_arr_ARRAY_cancelled,Geannuleerd
489,enum_arr_ARRAY_confirmed,Bevestigd
490,enum_arr_ARRAY_mail,PHP mail()
491,enum_arr_ARRAY_No,Nee
492,enum_arr_ARRAY_pending,In behandeling
493,enum_arr_ARRAY_smtp,SMTP
494,enum_arr_ARRAY_Yes,Ja
495,error_bodies_ARRAY_AA10,Het opgegeven e-mailadres is niet gekoppeld aan een account.
496,error_bodies_ARRAY_AA11,Controleer uw mailbox voor verdere instructies.
497,error_bodies_ARRAY_AA12,"Het spijt ons, probeer het later nog eens."
498,error_bodies_ARRAY_AA13,"Alle wijzigingen die je in je profiel hebt aangebracht, zijn opgeslagen."
499,error_bodies_ARRAY_AB01,Geen info
500,error_bodies_ARRAY_AB02,Alle back-up bestanden zijn opgeslagen.
501,error_bodies_ARRAY_AB03,Er is geen optie geselecteerd.
502,error_bodies_ARRAY_AB04,Er is geen back-up gemaakt.
503,error_bodies_ARRAY_AEQ01,Alle wijzigingen aan de apparatuur zijn opgeslagen.
504,error_bodies_ARRAY_AEQ03,Er is nieuwe apparatuur aan het systeem toegevoegd.
505,error_bodies_ARRAY_AEQ04,Het apparaat kon niet succesvol worden toegevoegd. Probeer het opnieuw.
506,error_bodies_ARRAY_AEQ08,"De apparatuur waarnaar u op zoek bent, ontbreekt."
507,error_bodies_ARRAY_AFD01,Alle wijzigingen aan eten of drinken zijn opgeslagen.
508,error_bodies_ARRAY_AFD03,Er is een nieuw voedings- of drankproduct aan het systeem toegevoegd.
509,error_bodies_ARRAY_AFD04,Het toevoegen van eten of drinken is mislukt. Probeer het opnieuw.
510,error_bodies_ARRAY_AFD08,"Het eten of drinken waarnaar u op zoek bent, is niet beschikbaar."
511,error_bodies_ARRAY_ALC01,"Alle wijzigingen die u zojuist hebt aangebracht, zijn opgeslagen."
512,error_bodies_ARRAY_ALY01,Alle wijzigingen in de ruimte indeling zijn opgeslagen.
513,error_bodies_ARRAY_ALY03,Er is een nieuwe ruimte indeling aan het systeem toegevoegd.
514,error_bodies_ARRAY_ALY04,Het toevoegen van de ruimte indeling is mislukt. Probeer het opnieuw.
515,error_bodies_ARRAY_ALY05,De plattegrond kon niet worden toegevoegd omdat de afbeelding te groot is en uw server deze niet kan uploaden. De maximaal toegestane grootte is {SIZE}. Upload alstublieft een kleinere afbeelding.
516,error_bodies_ARRAY_ALY06,De indeling van de ruimte kan niet succesvol worden bijgewerkt omdat de afbeelding grootte te groot is en uw server deze niet kan uploaden. De maximaal toegestane grootte is {SIZE}. Upload een kleinere afbeelding.
517,error_bodies_ARRAY_ALY08,De gewenste ruimte indeling ontbreekt.
518,error_bodies_ARRAY_ALY09,"De plattegrond van de ruimte is toegevoegd, maar de afbeelding kon niet worden doorgevoerd omdat deze te groot is."
519,error_bodies_ARRAY_ALY10,"De plattegrond van de ruimte is bijgewerkt, maar de afbeelding kon niet worden doorgevoerd omdat deze te groot is."
520,error_bodies_ARRAY_AO01,Alle wijzigingen in Algemene opties zijn opgeslagen.
521,error_bodies_ARRAY_AO02,Alle wijzigingen in de boeking opties zijn succesvol opgeslagen.
522,error_bodies_ARRAY_AO03,Alle wijzigingen in meldingen zijn succesvol opgeslagen.
523,error_bodies_ARRAY_AO04,Alle wijzigingen in het aanvraag formulier zijn succesvol opgeslagen.
524,error_bodies_ARRAY_AO05,Alle wijzigingen in de Algemene Voorwaarden zijn succesvol opgeslagen.
525,error_bodies_ARRAY_AR01,Alle wijzigingen in de aanvraag zijn verwerkt.
526,error_bodies_ARRAY_AR03,Er is een nieuwe aanvraag aan het systeem toegevoegd.
527,error_bodies_ARRAY_AR04,Het spijt ons dat de nieuwe aanvraag niet succesvol kon worden toegevoegd. Probeer het alstublieft opnieuw.
528,error_bodies_ARRAY_AR08,Het spijt ons dat de aanvraag die u zoekt ontbreekt.
529,error_bodies_ARRAY_ARM01,Alle wijzigingen aan de ruimte zijn opgeslagen.
530,error_bodies_ARRAY_ARM03,Er is een nieuwe ruimte aan het systeem toegevoegd.
